BYS4A,BYS7A,BYS8A,BYS8C,BYS14,BYS21,BYS66A,BYS66D,BYS74,BYS81A,BYS81B,BYS81C,BYIEPFLG,SEX,RACE,BYFAMINC,BY2XRSTD,BY2XMSTD,BY2XSSTD,BY2XHSTD,F1DOSTAT,G8CTRL1,F12XRSTD,F12XMSTD,F12XSSTD,F12XHSTD,G10CTRL1,F2S44B,F2DOSTAT,F22XRSTD,F22XMSTD,F22XSSTD,F22XHSTD,BYSC12,BYSC13E,BYSC16B,BYSC16C,BYSC16E,BYSC16F,BYSC47G,BYRATIO,F1C30A,F1C93F,BYP30,BYP38B,BYP40,BYP41,BYP59A,BYP59D,HSSTAT,PPOSTEX1,NUMCHILD,F4HSTYPE,F4HHDG
1,1,2,1,2,2,2,2,1,1,1,1,0,1,4,11,63.67,63.9,57.7,66.72,0,2,55.73,62.36,50.91,60.95,2,3,0,55.4,63.43,50.57,59.9,100,7,0,0,2,0,5,25,0,4,4,2,1,2,1,1,1,1,0,1,5
1,1,1,1,1,2,2,2,1,2,3,2,0,2,4,10,42.52,40.4,43.82,52.92,0,2,47.39,37.66,43.26,48.7,1,2,0,42.37,36.25,42.07,51.27,100,7,0,0,2,0,5,25,2,5,5,2,1,2,2,2,1,2,0,1,2
1,1,1,1,2,1,1,1,1,1,3,2,0,1,4,11,43.4,41.31,39.11,50.65,0,2,46.71,51.94,42.76,38.24,2,3,0,45.79,51.51,49.03,50.16,100,7,0,0,2,0,5,25,0,5,4,1,0,2,1,1,1,1,0,1,1
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,50.73,50.34,50.35,50.62,0,5,54.71,51.58,60.33,58.09,2,3,0,60.4,51.25,59.1,67.25,96,9,7,4,0,6,4,17,0,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,3,1,0,2,4,11,49.08,44.42,48.69,47.14,0,2,59.08,47.84,45.28,50.04,1,3,0,52.67,45.12,45.41,43.28,100,7,0,0,2,0,5,25,2,5,4,2,1,2,1,1,1,1,0,1,3
1,1,1,2,2,2,1,1,1,1,1,1,0,1,4,11,57.12,61.04,51.41,59.56,0,2,53.5,55.47,53.61,59.83,2,3,0,50.7,61.37,62.27,58.41,100,7,0,0,2,0,5,25,0,5,13,2,0,2,1,2,1,1,0,1,4
1,1,1,1,3,1,2,1,1,1,2,1,0,2,4,11,51.74,48.13,51.94,61.04,0,2,51.475,51.53,50.48,50.23,2,3,0,52.5,47.38,44.86,59.01,100,7,0,0,2,0,5,25,0,5,2,2,2,2,2,2,1,1,0,1,3
1,1,1,1,2,2,2,2,1,1,3,1,0,2,4,11,62.65,52.31,49.27,52.71,0,2,52.3,47.27,46.38,53.12,2,3,0,58.2,50.02,47.93,54.24,100,7,0,0,2,0,5,25,0,5,11,1,0,2,1,1,1,1,0,1,1
1,1,1,1,2,1,2,2,1,1,1,1,0,2,4,11,53.86,54.49,43.89,60.99,0,2,48.7,53.25,38.09,51.45,2,3,0,53.12,55.36,44.86,61.19,100,7,0,0,2,0,5,25,0,5,11,1,0,2,1,1,1,1,0,1,4
1,1,1,1,2,1,2,2,2,1,1,1,0,2,4,12,50.73,50.34,50.35,50.62,0,2,51.28,60.34,47.11,51.6,2,3,0,50.9,60.83,51.19,61.79,100,7,0,0,2,0,5,25,0,5,4,2,2,2,1,1,1,1,0,1,4
1,1,1,1,2,2,2,1,1,1,2,1,0,2,4,11,64.17,51.17,45.13,52.23,0,2,55.27,51.01,43.29,49.49,2,3,0,52.46,51.76,51.225,51.08,100,7,0,0,2,0,5,25,0,5,4,1,0,2,1,1,1,1,0,1,1
1,1,1,1,2,2,2,2,1,1,1,1,0,1,4,11,63.9,72.94,53.12,73.36,0,2,59.65,62.36,52.06,60.03,2,3,0,59.28,64.14,61.54,64.87,100,7,0,0,2,0,5,25,0,5,11,1,0,2,1,1,1,1,0,1,4
1,1,2,1,2,2,2,2,1,1,2,2,0,1,2,10,50.73,50.34,50.35,50.62,0,2,51.18,55.82,52.37,53.35,2,3,0,54.38,51.89,48.13,52.79,100,7,0,0,2,0,5,25,0,4,4,2,0,2,1,1,1,1,0,1,4
2,1,1,1,2,2,2,2,1,2,2,2,0,1,4,11,50.73,50.34,50.35,50.62,0,2,40.46,50.75,37.94,40.01,2,3,0,52.46,51.76,51.225,51.08,100,7,0,0,2,0,5,25,0,5,11,2,0,2,1,2,1,1,0,1,4
1,1,1,1,2,2,2,2,1,1,1,1,0,1,4,10,70.55,59.78,57.93,66.93,0,2,65.84,62.08,41.48,69.9,2,3,0,63.31,63.5,44.06,61.83,100,7,0,0,2,0,5,25,0,5,12,1,0,2,1,1,1,1,0,1,5
2,1,2,2,2,2,2,2,1,3,3,3,0,1,4,4,52.18,50.06,42.85,51.82,0,2,47.48,41.31,45.84,47.14,2,4,0,55.9,44.32,47.18,47.46,97,10,7,9,0,0,4,28,1,4,2,1,0,2,2,2,1,2,0,1,1
2,1,1,1,2,2,1,1,1,3,3,3,0,1,4,10,44.28,50.96,44.91,54.44,0,2,43.29,36.64,39.42,44.7,2,3,0,54.86,40.68,44.79,46.75,97,10,7,9,0,0,4,28,1,4,4,1,0,2,1,1,1,1,0,1,1
1,1,1,1,4,2,1,2,2,2,3,3,0,2,4,10,38.27,39.35,42.66,43.85,0,2,47.71,45.57,48.71,38.4,2,3,0,44.45,45.65,39.39,50.74,97,10,7,9,0,0,4,28,2,4,7,1,0,2,1,1,1,1,0,1,3
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,50.73,50.34,50.35,50.62,0,5,45.44,39.52,47.65,68.15,2,3,0,65.03,48.17,49.03,61.6,96,9,7,4,0,6,4,17,1,4,4,1,0,2,2,2,1,1,0,1,3
1,1,1,1,2,2,2,1,1,2,2,2,0,1,4,11,60.7,57.15,58.98,51.83,0,2,56.39,39.36,45.98,47.3,2,3,0,56.92,50.88,52.81,54.4,97,10,7,9,0,0,4,28,1,4,4,2,0,2,1,1,1,1,0,1,1
1,1,1,1,2,1,2,1,1,2,1,1,0,1,4,12,54.23,65.35,77.79,50.62,0,3,62.29,66.37,72.54,70.76,5,2,0,52.46,51.76,51.225,51.08,100,10,18,14,0,0,5,13,3,5,6,1,0,2,2,2,1,2,0,1,1
1,1,1,1,2,2,2,2,1,4,1,1,0,1,4,11,54.65,54.76,52.88,50.62,0,3,40.94,52.81,40.91,33.1,5,4,0,52.46,51.76,51.225,51.08,100,10,18,14,0,0,5,13,3,5,6,1,0,2,2,2,1,2,0,1,1
1,1,1,1,2,1,2,2,1,1,1,1,0,1,4,12,64.91,68.17,67.42,50.62,0,3,65.08,65.81,66.67,71.36,5,4,0,52.46,51.76,51.225,51.08,100,10,18,14,0,0,5,13,3,5,8,1,0,2,1,1,1,2,0,1,1
1,1,2,1,2,2,2,2,1,1,3,1,0,1,4,10,60.34,44.33,55.94,50.62,0,3,61.13,48.65,56.6,61.12,3,4,0,58.08,50.39,55.7,63.26,100,10,18,14,0,0,5,13,2,4,12,1,1,1,2,2,1,1,0,1,5
1,1,1,1,2,1,2,1,1,2,3,2,0,2,4,11,63.47,58.26,55.77,62.43,0,3,64.03,60.3,53.71,54.59,3,3,0,52.46,51.76,51.225,51.08,98,9,5,5,1,0,4,22,0,4,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,1,2,1,1,1,1,1,0,2,4,11,67.63,70.57,56.27,64.43,0,3,63.65,66.86,59.67,61.63,3,3,0,62.41,62.56,59,63.75,98,9,5,5,1,0,4,22,0,4,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,1,2,1,1,1,1,1,0,1,4,11,70.55,60.09,72.46,67.18,0,3,66.95,66.53,57.41,66.26,5,3,0,66.92,63.89,59.17,66.4,98,9,5,5,1,0,4,22,2,4,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,1,1,1,1,1,0,1,4,11,63.19,65.72,61.09,73.91,0,3,51.475,51.53,50.48,50.23,5,3,0,63.99,65.88,66.4,67.7,98,9,5,5,1,0,4,22,2,4,4,1,0,2,2,2,1,1,0,1,5
1,1,1,1,1,1,1,2,1,1,2,3,0,1,2,11,70.55,65.91,49.91,61.07,0,4,62.58,63.65,58.72,65.4,1,3,0,61.14,65.58,58.58,62.37,95,6,0,0,0,0,4,11,2,4,4,1,0,2,2,2,1,1,0,1,1
1,1,2,2,1,2,1,1,1,2,2,3,0,2,4,11,49.94,39.6,43.86,40.95,0,1,49.02,47.31,36.63,40.84,1,2,0,49.59,45.37,34.47,34.79,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,2,0,1,1
1,1,1,1,1,2,1,1,1,2,1,3,0,2,4,11,42.53,45.45,40.83,48.65,0,1,36.25,51.56,43.69,48.41,1,2,0,42.31,51.26,46.04,47.07,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,2,0,1,4
1,1,2,1,1,2,1,2,1,3,3,3,0,1,4,11,47.07,45.29,35.21,46.58,0,1,41.15,48.53,40.81,40.94,1,2,0,45,49.85,36.11,41.56,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,2,0,1,1
1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,11,70.55,77.2,73.6,76.7,0,1,65.02,71.05,71.53,71.38,1,3,0,66.74,69.68,64.7,65.66,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,57.76,45.63,49.42,47.36,0,1,56.83,50.88,50.14,47.62,1,3,0,55.54,53.61,53.44,50.57,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,1,0,1,3
1,1,2,1,1,2,1,1,1,1,1,1,0,2,4,11,57.78,57.05,59.76,74.06,0,1,61.01,64.08,69.38,67.21,1,3,0,65.37,63.14,66.21,62.7,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,1,0,1,5
2,3,2,2,1,2,2,2,1,1,2,4,0,2,4,11,41.31,44.11,46.09,40.85,0,1,47.42,46.02,43.41,42.89,1,2,0,42.75,53.88,51.95,43.25,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,2,1,1,1
1,1,1,1,1,2,1,1,1,3,2,3,0,1,4,11,60.05,44.9,55.05,58.16,0,1,58.9,52.48,58.67,58.07,1,3,0,42.02,53.86,57.57,51.95,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,1,0,1,1
1,4,2,2,1,2,2,2,1,1,2,2,0,2,5,11,59.1,48.48,52.47,67.91,0,1,58.05,48.87,44.8,63.47,1,4,0,56.13,48.44,46.93,60.24,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,2,0,1,3
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,50.73,50.34,50.35,50.62,0,5,49.41,48.77,46.31,39.24,1,1,0,51.96,51.34,49.75,44.29,96,9,7,4,0,6,4,17,3,5,4,1,0,2,2,2,1,2,0,1,1
1,1,1,1,1,2,2,2,1,2,1,2,0,2,4,11,40.79,59.11,53.22,47.5,0,1,45.85,57.22,57.62,45.27,1,3,0,49.98,55.56,63.7,46.57,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,2,2,2,1,2,2,1,0,1,4,11,62.24,66.87,72.72,76.7,0,1,62.82,63.46,67.58,69.73,1,3,0,64.77,65.14,70.6,66.21,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,1,0,1,4
2,2,1,1,4,2,1,1,1,2,1,4,0,2,4,11,37.6,43.57,38.88,39.98,0,1,33.55,37.77,40.02,38.85,1,2,0,31.98,34.61,38.76,39.67,95,10,19,6,0,2,5,14,3,5,4,1,0,2,2,2,1,2,2,1,2
1,1,1,1,2,1,2,1,1,1,1,1,0,1,4,11,58.51,64.8,46.61,48.5,0,3,56.22,60.46,51.93,54.82,5,3,0,52.46,51.76,51.225,51.08,100,10,4,4,3,0,2,10,2,4,12,1,0,2,1,1,1,1,0,1,5
1,1,1,1,2,1,2,1,1,1,2,1,0,2,4,15,63.86,66.45,46.93,57.83,1,3,51.475,51.53,50.48,50.23,5,3,0,52.46,51.76,51.225,51.08,100,10,4,4,3,0,2,10,2,4,11,1,0,2,1,1,1,1,0,1,4
1,1,1,1,2,1,1,1,1,1,1,1,0,1,5,11,35.95,48.05,47.46,47.58,1,3,51.475,51.53,50.48,50.23,5,3,0,52.46,51.76,51.225,51.08,100,10,4,4,3,0,2,10,2,4,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,2,2,1,1,2,2,2,0,1,4,12,56.84,56.15,57.1,57.38,0,3,66,56.13,51.91,53.73,5,3,0,49.37,52.59,41.39,51.08,100,10,4,4,3,0,2,10,2,4,8,1,0,2,1,2,1,1,0,1,4
1,1,1,1,2,2,2,2,1,2,2,3,0,2,4,12,49.59,47.33,38.81,43.87,0,3,38.63,47.03,43.44,41.71,3,3,0,52.46,51.76,51.225,51.08,100,10,4,4,3,0,2,10,0,5,12,2,0,2,1,1,1,1,0,1,5
1,1,1,1,2,1,2,2,1,2,2,1,0,1,4,11,62.56,55.5,66.85,59.53,0,3,54.56,61.35,67.17,58.12,5,2,0,63.61,63.42,66.61,61.4,100,10,4,4,3,0,2,10,2,4,13,1,0,2,1,1,1,1,0,1,4
1,1,1,1,2,2,2,1,1,1,1,1,0,2,4,11,70.08,64.86,72.66,73.91,0,3,61.03,67.29,69.01,66.7,3,3,0,52.46,51.76,51.225,51.08,100,10,9,5,0,5,3,17,0,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,2,2,1,3,1,2,0,2,4,11,52.18,51.93,42.64,43.91,0,3,53.29,56.94,47.69,41.23,3,4,0,51.83,56.69,45.42,46.13,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,5
1,1,1,1,2,2,2,2,1,1,1,1,0,2,4,11,58.55,52.47,45.16,51.76,0,3,42.44,38.67,35.9,46.24,3,3,0,52.46,51.76,51.225,51.08,100,10,9,5,0,5,3,17,0,5,4,1,0,2,2,2,1,1,0,1,5
1,1,1,1,2,1,2,1,1,1,1,1,0,2,4,11,70.55,71.08,67.93,72.95,0,3,66.68,66.06,66.27,69.25,3,3,0,67.51,64.94,64.19,69.45,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,2,2,1,2,1,1,0,2,4,11,51.98,52.81,41.25,47.24,0,3,50.9,51.12,45.07,42.63,3,3,0,50.59,54.32,47.27,47.69,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,3
1,1,1,1,2,1,2,2,1,2,2,2,0,2,4,11,70.08,54.53,58.4,64.99,0,3,66.96,57.65,61.53,62.98,3,3,0,52.46,51.76,51.225,51.08,100,10,9,5,0,5,3,17,0,5,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,1,1,1,2,1,2,0,2,4,11,48.04,41.49,45.88,41.32,0,3,44.74,41.85,46.21,40.09,3,3,0,49.26,45.46,48.47,43.3,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,2,1,1,1,1,1,0,2,4,11,70.55,59.33,65.64,53.95,0,3,62.83,66.75,64.29,57.81,3,3,0,62.81,62.96,56.98,68.47,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,2,2,2,1,3,1,2,0,2,4,11,47.88,56.05,35.39,51.5,0,3,56.63,54.44,52.44,43.89,3,3,0,62.9,56.41,47.97,56.25,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,2,2,1,1,2,1,0,2,4,11,70.55,48.67,65.96,59.42,0,3,68.8,58.77,61.9,60.44,3,3,0,67.35,58.84,63.19,66.82,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,2,1,2,1,1,1,1,1,0,2,4,11,70.08,64.63,65.6,60.1,0,3,66.38,66.51,55.71,55.59,3,3,0,52.46,51.76,51.225,51.08,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,1
1,1,1,1,2,2,2,2,1,3,1,2,0,2,4,11,53.73,60.95,55.47,53.08,0,3,60.89,63.18,54.49,59.79,3,3,0,61.6,62.68,58.8,63.72,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,2,2,1,2,1,1,1,1,1,0,2,4,11,70.55,73.78,58,57.37,0,3,59.53,66.49,65.97,65.22,3,3,0,65.02,68.11,62.07,65.9,100,10,9,5,0,5,3,17,0,3,4,1,0,2,2,2,1,1,0,1,4
1,1,1,1,1,1,2,1,1,2,1,1,0,2,4,11,64.89,64.98,56.13,76.7,0,3,65.02,65.32,57.84,72.89,1,3,0,65.82,64.22,63.28,67.3,100,10,9,5,0,5,3,17,2,5,4,1,0,2,2,2,1,1,0,1,4
